[Header]
Data File Name	C:\GCMSsolution\Data\2024\202405\20240514-1.qgd
Output Date	2024/6/11
Output Time	9:39:45

[MS Spectrum]
# of Peaks	62
Raw Spectrum	1.242 -> 1.258 (scan : 126 -> 128)
Background	1.183 <-> 1.367 (scan : 119 <-> 141)
Base Peak	m/z 43.95 (Inten : 299,137)
Event#	1
m/z	Absolute Intensity	Relative Intensity
88.00	206	0.01
89.00	234	0.01
90.00	68	0.00
91.00	138	0.00
92.00	90	0.00
93.00	174	0.01
94.00	117	0.00
95.05	149	0.00
96.05	132	0.00
97.10	317	0.01
98.05	256	0.01
99.10	120	0.00
101.00	117	0.00
102.00	87	0.00
104.00	62	0.00
105.00	1334	0.04
106.00	179	0.01
107.00	38	0.00
108.00	109	0.00
109.10	100	0.00
110.05	102	0.00
111.05	156	0.01
112.10	80	0.00
113.00	42	0.00
114.00	115	0.00
115.00	116	0.00
116.10	60	0.00
117.00	70	0.00
118.00	35	0.00
119.05	77	0.00
120.10	49	0.00
121.05	73	0.00
122.10	87	0.00
123.05	76	0.00
124.10	39	0.00
125.05	109	0.00
126.10	87	0.00
127.10	49	0.00
128.00	72	0.00
129.05	231	0.01
130.00	122	0.00
131.10	129	0.00
133.00	73	0.00
134.00	134	0.00
135.00	87	0.00
136.00	294	0.01
137.05	90	0.00
138.10	67	0.00
139.10	54	0.00
140.10	72	0.00
141.10	123	0.00
143.10	62	0.00
145.00	120	0.00
147.10	47	0.00
148.10	81	0.00
149.10	34	0.00
151.10	83	0.00
152.10	49	0.00
153.10	38	0.00
155.00	69	0.00
157.10	137	0.00
166.10	36	0.00
171.10	87	0.00
185.00	115	0.00
194.10	35	0.00
213.10	134	0.00
236.10	77	0.00
237.10	73	0.00
239.10	39	0.00
243.10	34	0.00
255.10	128	0.00
256.10	85	0.00
257.10	42	0.00
368.10	28	0.00
